지역명,규모구분,연도,월,분양가격(제곱미터),제곱미터당분양가격,평당분양가격,전용면적
서울,모든면적,2015,10,"5,841",5841.0,19275.3,모든면적
서울,전용면적 60제곱미터이하,2015,10,5652,5652.0,18651.6,60
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,10,5882,5882.0,19410.6,60~85
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,10,5721,5721.0,18879.3,85~102
서울,전용면적 102제곱미터초과,2015,10,5879,5879.0,19400.7,102~
인천,모든면적,2015,10,"3,163",3163.0,10437.9,모든면적
인천,전용면적 60제곱미터이하,2015,10,3488,3488.0,11510.4,60
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3119,3119.0,10292.699999999999,60~85
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3545,3545.0,11698.5,85~102
인천,전용면적 102제곱미터초과,2015,10,3408,3408.0,11246.4,102~
경기,모든면적,2015,10,"3,138",3138.0,10355.4,모든면적
경기,전용면적 60제곱미터이하,2015,10,3126,3126.0,10315.8,60
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3239,3239.0,10688.699999999999,60~85
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,10,3496,3496.0,11536.8,85~102
경기,전용면적 102제곱미터초과,2015,10,3680,3680.0,12144.0,102~
부산,모든면적,2015,10,"3,112",3112.0,10269.599999999999,모든면적
부산,전용면적 60제곱미터이하,2015,10,2950,2950.0,9735.0,60
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2999,2999.0,9896.699999999999,60~85
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2957,2957.0,9758.1,85~102
부산,전용면적 102제곱미터초과,2015,10,3500,3500.0,11550.0,102~
대구,모든면적,2015,10,"2,682",2682.0,8850.6,모든면적
대구,전용면적 60제곱미터이하,2015,10,2614,2614.0,8626.199999999999,60
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2696,2696.0,8896.8,60~85
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2557,2557.0,8438.1,85~102
대구,전용면적 102제곱미터초과,2015,10,2598,2598.0,8573.4,102~
광주,모든면적,2015,10,"2,420",2420.0,7986.0,모든면적
광주,전용면적 60제곱미터이하,2015,10,2253,2253.0,7434.9,60
광주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2439,2439.0,8048.7,60~85
광주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,  ,,,85~102
광주,전용면적 102제곱미터초과,2015,10,  ,,,102~
대전,모든면적,2015,10,"2,454",2454.0,8098.2,모든면적
대전,전용면적 60제곱미터이하,2015,10,2585,2585.0,8530.5,60
대전,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2428,2428.0,8012.4,60~85
대전,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2461,2461.0,8121.299999999999,85~102
대전,전용면적 102제곱미터초과,2015,10,  ,,,102~
울산,모든면적,2015,10,"3,053",3053.0,10074.9,모든면적
울산,전용면적 60제곱미터이하,2015,10,2422,2422.0,7992.599999999999,60
울산,전용면적 60제곱미터초과 85제곱미터이하,2015,10,3040,3040.0,10032.0,60~85
울산,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2951,2951.0,9738.3,85~102
울산,전용면적 102제곱미터초과,2015,10,2690,2690.0,8877.0,102~
세종,모든면적,2015,10,"2,642",2642.0,8718.6,모든면적
세종,전용면적 60제곱미터이하,2015,10,2572,2572.0,8487.6,60
세종,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2657,2657.0,8768.1,60~85
세종,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2644,2644.0,8725.199999999999,85~102
세종,전용면적 102제곱미터초과,2015,10,2692,2692.0,8883.6,102~
강원,모든면적,2015,10,"2,167",2167.0,7151.099999999999,모든면적
강원,전용면적 60제곱미터이하,2015,10,2286,2286.0,7543.799999999999,60
강원,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2212,2212.0,7299.599999999999,60~85
강원,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2061,2061.0,6801.299999999999,85~102
강원,전용면적 102제곱미터초과,2015,10,2171,2171.0,7164.299999999999,102~
충북,모든면적,2015,10,"2,032",2032.0,6705.599999999999,모든면적
충북,전용면적 60제곱미터이하,2015,10,1919,1919.0,6332.7,60
충북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2033,2033.0,6708.9,60~85
충북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2102,2102.0,6936.599999999999,85~102
충북,전용면적 102제곱미터초과,2015,10,2369,2369.0,7817.7,102~
충남,모든면적,2015,10,"2,099",2099.0,6926.7,모든면적
충남,전용면적 60제곱미터이하,2015,10,2206,2206.0,7279.799999999999,60
충남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2101,2101.0,6933.299999999999,60~85
충남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2743,2743.0,9051.9,85~102
충남,전용면적 102제곱미터초과,2015,10,2442,2442.0,8058.599999999999,102~
전북,모든면적,2015,10,"2,054",2054.0,6778.2,모든면적
전북,전용면적 60제곱미터이하,2015,10,2127,2127.0,7019.099999999999,60
전북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2056,2056.0,6784.799999999999,60~85
전북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2377,2377.0,7844.099999999999,85~102
전북,전용면적 102제곱미터초과,2015,10,2250,2250.0,7425.0,102~
전남,모든면적,2015,10,"1,925",1925.0,6352.5,모든면적
전남,전용면적 60제곱미터이하,2015,10,1999,1999.0,6596.7,60
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922,1922.0,6342.599999999999,60~85
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2262,2262.0,7464.599999999999,85~102
전남,전용면적 102제곱미터초과,2015,10,2292,2292.0,7563.599999999999,102~
경북,모든면적,2015,10,"2,148",2148.0,7088.4,모든면적
