	token	경주	전주	전체	경주비율	전주비율
0	코스	446	481	927	48.11%	51.89%
1	추천	401	301	702	57.12%	42.88%
2	곳	146	455	601	24.29%	75.71%
3	맛집	120	287	407	29.48%	70.52%
4	봉	0	354	354	0.00%	100.00%
5	여수	0	349	349	0.00%	100.00%
6	전	22	314	336	6.55%	93.45%
7	주달	0	304	304	0.00%	100.00%
8	계획	154	61	215	71.63%	28.37%
9	달	13	197	210	6.19%	93.81%
10	숙소	139	60	199	69.85%	30.15%
11	일정	118	80	198	59.60%	40.40%
12	한옥마을	0	193	193	0.00%	100.00%
13	질문	114	78	192	59.38%	40.62%
14	부탁	105	75	180	58.33%	41.67%
15	티비	0	177	177	0.00%	100.00%
16	국내	5	167	172	2.91%	97.09%
17	답변	106	55	161	65.84%	34.16%
18	제주	5	152	157	3.18%	96.82%
19	전문	10	127	137	7.30%	92.70%
20	플	5	128	133	3.76%	96.24%
21	봉이	0	127	127	0.00%	100.00%
22	언서	0	127	127	0.00%	100.00%
23	제주도	0	127	127	0.00%	100.00%
24	친구	44	78	122	36.07%	63.93%
25	한옥	5	117	122	4.10%	95.90%
26	마을	0	117	117	0.00%	100.00%
27	가족	95	20	115	82.61%	17.39%
28	차	70	42	112	62.50%	37.50%
29	안녕	57	53	110	51.82%	48.18%
30	참고	56	45	101	55.45%	44.55%
31	당일치기	25	70	95	26.32%	73.68%
32	길	90	5	95	94.74%	5.26%
33	황리	95	0	95	100.00%	0.00%
34	관련	66	28	94	70.21%	29.79%
35	택시	55	30	85	64.71%	35.29%
36	이번	30	55	85	35.29%	64.71%
37	정도	54	30	84	64.29%	35.71%
38	지	77	5	82	93.90%	6.10%
39	주	25	55	80	31.25%	68.75%
40	예정	40	35	75	53.33%	46.67%
41	공원	15	55	70	21.43%	78.57%
42	준비	45	25	70	64.29%	35.71%
43	근처	30	36	66	45.45%	54.55%
44	버스	23	40	63	36.51%	63.49%
45	시간	23	39	62	37.10%	62.90%
46	아이	45	15	60	75.00%	25.00%
47	엄마	55	5	60	91.67%	8.33%
48	이용	25	35	60	41.67%	58.33%
49	때	35	25	60	58.33%	41.67%
50	터미널	25	30	55	45.45%	54.55%
51	문	40	15	55	72.73%	27.27%
52	가능	24	30	54	44.44%	55.56%
53	장소	25	28	53	47.17%	52.83%
54	날씨	52	0	52	100.00%	0.00%
55	추억	30	22	52	57.69%	42.31%
56	아래	32	20	52	61.54%	38.46%
57	관광지	25	25	50	50.00%	50.00%
58	문화	30	20	50	60.00%	40.00%
59	역사	45	5	50	90.00%	10.00%
60	덕진	0	50	50	0.00%	100.00%
61	방문	36	10	46	78.26%	21.74%
62	관광	15	30	45	33.33%	66.67%
63	남자	15	30	45	33.33%	66.67%
64	혼자	20	25	45	44.44%	55.56%
65	식당	40	5	45	88.89%	11.11%
66	시작	15	30	45	33.33%	66.67%
67	동선	40	5	45	88.89%	11.11%
68	운전	45	0	45	100.00%	0.00%
69	도움	20	25	45	44.44%	55.56%
70	이동	14	30	44	31.82%	68.18%
71	갈만	15	29	44	34.09%	65.91%
72	카페	25	17	42	59.52%	40.48%
73	사람	10	32	42	23.81%	76.19%
74	당일	21	20	41	51.22%	48.78%
75	투어	30	11	41	73.17%	26.83%
76	시장	10	30	40	25.00%	75.00%
77	주말	20	20	40	50.00%	50.00%
78	렌트	15	25	40	37.50%	62.50%
79	여자	25	15	40	62.50%	37.50%
80	대중교통	15	24	39	38.46%	61.54%
81	월지	39	0	39	100.00%	0.00%
82	동물원	0	38	38	0.00%	100.00%
83	펜션	23	15	38	60.53%	39.47%
84	첨성대	37	0	37	100.00%	0.00%
85	아빠	31	5	36	86.11%	13.89%
86	불국사	36	0	36	100.00%	0.00%
87	부모	10	25	35	28.57%	71.43%
88	도착	25	10	35	71.43%	28.57%
89	인	25	10	35	71.43%	28.57%
90	어머니	29	5	34	85.29%	14.71%
91	동궁	34	0	34	100.00%	0.00%
92	체험	10	24	34	29.41%	70.59%
93	감사	0	33	33	0.00%	100.00%
94	비용	0	33	33	0.00%	100.00%
95	가격	10	22	32	31.25%	68.75%
96	박물관	15	16	31	48.39%	51.61%
97	핫	30	1	31	96.77%	3.23%
98	기차	10	20	30	33.33%	66.67%
99	거리	10	20	30	33.33%	66.67%
100	수목원	0	30	30	0.00%	100.00%
101	포항	15	15	30	50.00%	50.00%
102	아들	30	0	30	100.00%	0.00%
103	전라도	0	30	30	0.00%	100.00%
104	플레이스	30	0	30	100.00%	0.00%
105	정보	10	20	30	33.33%	66.67%
106	호텔	7	22	29	24.14%	75.86%
107	비	23	5	28	82.14%	17.86%
108	생각	16	10	26	61.54%	38.46%
109	소개	26	0	26	100.00%	0.00%
110	서울	11	15	26	42.31%	57.69%
111	포함	10	15	25	40.00%	60.00%
112	강아지	0	25	25	0.00%	100.00%
113	남부	0	25	25	0.00%	100.00%
114	처음	15	10	25	60.00%	40.00%
115	학년	15	10	25	60.00%	40.00%
116	말	15	10	25	60.00%	40.00%
117	고등학생	20	5	25	80.00%	20.00%
118	볼거리	15	10	25	60.00%	40.00%
119	명소	15	10	25	60.00%	40.00%
120	가요	18	7	25	72.00%	28.00%
121	도시	20	5	25	80.00%	20.00%
122	도보	20	5	25	80.00%	20.00%
123	국립	15	10	25	60.00%	40.00%
124	하루	20	5	25	80.00%	20.00%
125	첨부	20	5	25	80.00%	20.00%
126	지도	25	0	25	100.00%	0.00%
127	루트	25	0	25	100.00%	0.00%
128	날	20	4	24	83.33%	16.67%
129	위주	14	10	24	58.33%	41.67%
130	추석	8	15	23	34.78%	65.22%
131	특별	23	0	23	100.00%	0.00%
132	야경	18	5	23	78.26%	21.74%
133	얼마	5	17	22	22.73%	77.27%
134	석굴암	21	0	21	100.00%	0.00%
135	확인	16	5	21	76.19%	23.81%
136	산책	0	20	20	0.00%	100.00%
137	완산구	0	20	20	0.00%	100.00%
138	게스트	15	5	20	75.00%	25.00%
139	향교	0	20	20	0.00%	100.00%
140	반려	10	10	20	50.00%	50.00%
141	시절	15	5	20	75.00%	25.00%
142	초등	10	10	20	50.00%	50.00%
143	풀	20	0	20	100.00%	0.00%
144	월드	20	0	20	100.00%	0.00%
145	실패	20	0	20	100.00%	0.00%
146	시내	20	0	20	100.00%	0.00%
147	동반	10	10	20	50.00%	50.00%
148	동안	20	0	20	100.00%	0.00%
